Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0460030H;Collège du Puy d'Issolud;Collège;Public;Avenue de la Libération;;;46110;46330;Vayrac;046;16;76;;;0;0;0;05 65 27 00 60;05 65 32 57 40;https://puy-d-issolud.mon-ent-occitanie.fr/;0460030h@ac-toulouse.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;19460030000017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2501;44.95413531275381, 1.7064996799687633;SANS OBJET;Lot;Toulouse;Occitanie;597994.1;6429160.5;EPSG:2154;;44.95413531275381;1.7064996799687633;Numéro de rue;1965-05-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0460030H;;;;;;16124;LOT EST
0650089U;Collège Blanche Odin;Collège;Public;2 rue Joseph Meynier;BP 116;;65201;65059;Bagnères-de-Bigorre;065;16;76;;;0;0;0;05 31 74 30 70;05 31 74 30 71;https://blanche-odin.mon-ent-occitanie.fr/;0650089u@ac-toulouse.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;0;19650089600010;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2500;43.0690638496498, 0.14533994790136012;SANS OBJET;Hautes-Pyrénées;Toulouse;Occitanie;467348.6;6223068.7;EPSG:2154;Circonscription TARBES ASH SEMEAC;43.0690638496498;0.14533994790136012;Numéro de rue;1969-03-20;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0650089U;;;0651045H;;;16116;BAGNERES-DE-BIGORRE / LOURDES
0311236A;Collège Pierre de Fermat;Collège;Public;1 rue Gambetta;BP 7013;;31004;31555;Toulouse;031;16;76;;;0;0;0;05 34 30 30 00;05 34 30 30 01;https://pierre-de-fermat.ecollege.haute-garonne.fr/;0311236a@ac-toulouse.fr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;19311236400016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1222;43.60280532848373, 1.4403303595250898;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;574041.2;6279438.6;EPSG:2154;;43.60280532848373;1.4403303595250898;Numéro de rue;1968-04-18;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0311631E;;;;;;16109;TOULOUSE CENTRE
0340062H;Collège Via Domitia;Collège;Public;Chemin de Loupian;BP 11;;34560;34213;Poussan;034;11;76;;;0;0;0;04 67 78 20 13;04 67 78 44 02;https://via-domitia-poussan.mon-ent-occitanie.fr/;ce.0340062h@ac-montpellier.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19340062900013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13365;43.48618179375492, 3.6655403933599637;SANS OBJET;Hérault;Montpellier;Occitanie;753861.1;6265459.5;EPSG:2154;;43.48618179375492;3.6655403933599637;Numéro de rue;1965-05-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0340062H;;;;034012;SETE;11114;BASSIN DE THAU
0341577E;Collège le Bérange;Collège;Public;Rue du Contrôle;BP 24;;34670;34022;Baillargues;034;11;76;;;0;0;0;04 67 70 13 51;04 67 87 50 01;http://www.clg-leberange-baillargues.ac-montpellier.fr;ce.0341577e@ac-montpellier.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;19341577500017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10229;43.667076733135566, 4.022269550041911;SANS OBJET;Hérault;Montpellier;Occitanie;782469.0;6285871.4;EPSG:2154;;43.667076733135566;4.022269550041911;Numéro de rue;1983-09-08;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0341577E;;;;034006;LUNEL;11119;LUNEL
0312842W;Collège Simone Veil;Collège;Public;237 rue Jacques Brel;;;31790;31490;Saint-Jory;031;16;76;;;0;0;0;05 34 27 27 40;05 34 27 27 41;http://saint-jory.ecollege.haute-garonne.fr/;0312842w@ac-toulouse.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;20002994000018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18357;43.75014698878149, 1.3737197316752492;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;568999.7;6295918.4;EPSG:2154;;43.75014698878149;1.3737197316752492;Numéro de rue;2012-09-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0312423R;;;;;;16110;TOULOUSE NORD
0811032G;Collège Les Clauzades;Collège;Public;17 route de Caraman;;;81500;81140;Lavaur;081;16;76;;;0;0;0;05 63 83 11 20;05 63 83 11 30;https://les-clauzades-lavaur.mon-ent-occitanie.fr/;0811032g@ac-toulouse.fr;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;;1;19811032200015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14230;43.6887903038086, 1.8168495078827265;SANS OBJET;Tarn;Toulouse;Occitanie;604589.4;6288465.5;EPSG:2154;;43.6887903038086;1.8168495078827265;Numéro de rue;1977-03-09;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0811032G;;;;;;16119;GAILLAC / GRAULHET
0810037A;Collège Gambetta;Collège;Public;2 rue du Petit Faubourg;;;81800;81220;Rabastens;081;16;76;;;0;0;0;05 63 33 71 51;05 63 33 86 67;https://leon-gambetta-rabastens.mon-ent-occitanie.fr/;0810037a@ac-toulouse.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19810037200012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9183;43.82588772501709, 1.7254280583667514;SANS OBJET;Tarn;Toulouse;Occitanie;597463.6;6303813.7;EPSG:2154;;43.82588772501709;1.7254280583667514;Numéro de rue;1965-05-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0810037A;;;;;;16119;GAILLAC / GRAULHET
0660522J;Collège Marcel Pagnol;Collège;Public;9 espace Anna Politkovskaïa;BP 90028;;66050;66136;Perpignan;066;11;76;;;0;0;0;04 68 61 08 92;04 68 61 48 95;http://www.clg-pagnol-perpignan.ac-montpellier.fr;ce.0660522j@ac-montpellier.fr;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;REP+;1;19660522400027;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15027;42.71239825182605, 2.8831061091102734;SANS OBJET;Pyrénées-Orientales;Montpellier;Occitanie;690412.5;6179207.7;EPSG:2154;Circonscription d'inspection du 1er degré de Roussillon;42.71239825182605;2.8831061091102734;Numéro de rue;1971-02-19;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0660012E;;;0660791B;066004;PERPIGNAN;11123;PERPIGNAN NORD
0300059B;Collège Jules Verne;Collège;Public;40 rue du Vallon;BP 17035;;30910;30189;Nîmes;030;11;76;;;0;0;0;04 66 64 63 93;04 66 23 44 33;http://www.clg-verne-nimes.ac-montpellier.fr;ce.0300059b@ac-montpellier.fr;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;REP+;1;19300059300015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14941;43.829639151131474, 4.342960542049971;SANS OBJET;Gard;Montpellier;Occitanie;808030.5;6304321.7;EPSG:2154;;43.829639151131474;4.342960542049971;Numéro de rue;1965-12-06;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0300059B;;;;030003;LA ROMANITE;11118;GARD SUD-OUEST
0820891Y;Collège Vercingétorix;Collège;Public;Chemin de la Coste;;;82700;82125;Montech;082;16;76;;;0;0;0;05 63 02 28 60;05 63 02 23 61;https://vercingetorix.mon-ent-occitanie.fr/;0820891y@ac-toulouse.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;0;20000502300011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17380;43.94292012368326, 1.2202503272208813;SANS OBJET;Tarn-et-Garonne;Toulouse;Occitanie;557122.2;6317601.0;EPSG:2154;;43.94292012368326;1.2202503272208813;Rue;2007-09-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0820891Y;;;;;;16121;CASTELSARRASIN / MOISSAC
0341368C;Collège l'Etang de L'Or;Collège;Public;Avenue de la Mer;BP 112;;34130;34154;Mauguio;034;11;76;;;0;0;0;04 67 99 18 50;04 67 99 18 51;http://www.clg-etangdelor-mauguio.ac-montpellier.fr/;ce.0341368C@ac-montpellier.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19341368900012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10943;43.61293731651642, 4.00733480989831;SANS OBJET;Hérault;Montpellier;Occitanie;781341.0;6279839.5;EPSG:2154;;43.61293731651642;4.00733480989831;Numéro de rue;1974-06-06;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0341368C;;;;034009;MONTPELLIER;11119;LUNEL
0300101X;Collège privé Maintenon;Collège;Privé;13 bis rue Abbé Fabre;;;30250;30321;Sommières;030;11;76;;;0;0;0;04 66 80 00 75;04 66 80 94 81;http://www.maintenon.org;contact@maintenon.org;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;77594345900013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13909;43.78496622795776, 4.089730405346151;CONTRAT D'ASSOCIATION TOUTES CLASSES;Gard;Montpellier;Occitanie;787730.1;6299044.1;EPSG:2154;;43.78496622795776;4.089730405346151;Numéro de rue;1967-03-03;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;;;;;030003;LA ROMANITE;11118;GARD SUD-OUEST
0660634F;Collège climatique et sportif Pierre de Coubertin;Collège;Public;5 avenue Pierre de Coubertin;;;66120;66124;Font-Romeu-Odeillo-Via;066;11;76;;;0;0;0;04 68 30 83 00;04 68 30 83 05;https://pierre-de-coubertin.mon-ent-occitanie.fr/;ce.0660634f@ac-montpellier.fr;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;19660634700017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6866;42.51628470465537, 2.0415696526904274;SANS OBJET;Pyrénées-Orientales;Montpellier;Occitanie;621127.8;6157865.3;EPSG:2154;;42.51628470465537;2.0415696526904274;Numéro de rue;1977-03-14;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;350;COLLEGE CLIMATIQUE;99;0660057D;;;;066001;CANIGO;11113;PRADES
0342297M;Collège privé St Joseph Pierre Rouge;Collège;Privé;600 avenue du campus Agropolis;;;34980;34169;Montferrier-sur-Lez;034;11;76;;;0;0;0;04 99 58 33 40;04 99 58 33 41;http://www.pierrerouge.com;ce.0342297m@ac-montpellier.fr;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;32001710600040;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18659;43.679342394884976, 3.8722806143496027;CONTRAT D'ASSOCIATION TOUTES CLASSES;Hérault;Montpellier;Occitanie;770354.5;6287089.3;EPSG:2154;;43.679342394884976;3.8722806143496027;Numéro de rue;2012-09-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;;;;;034007;MATHIEU;11124;PIC SAINT LOUP
0120002M;Collège Voltaire;Collège;Public;10 rue Paul Bert;;;12700;12052;Capdenac-Gare;012;16;76;;;0;0;0;05 65 64 71 44;05 65 64 74 58;https://voltaire-capdenac-gare.mon-ent-occitanie.fr/;0120002m@ac-toulouse.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;19120002100019;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14591;44.573786937526265, 2.081049731118863;SANS OBJET;Aveyron;Toulouse;Occitanie;627038.0;6386503.0;EPSG:2154;;44.573786937526265;2.081049731118863;Numéro de rue;1965-05-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0120622L;;;;;;16103;DECAZEVILLE/VILLEFRANCHE DE ROUERGUE
0110015G;Collège Jean Baptiste Bieules;Collège;Public;Avenue du Docteur Chaila;;;11190;11103;Couiza;011;11;76;;;0;0;0;04 68 74 01 41;04 68 74 20 43;http://www.clg-bieules-couiza.ac-montpellier.fr/;ce.0110015g@ac-montpellier.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;19110015500016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9855;42.940763712672215, 2.2550702107090728;SANS OBJET;Aude;Montpellier;Occitanie;639142.2;6204884.0;EPSG:2154;;42.940763712672215;2.2550702107090728;Numéro de rue;1965-05-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0110675Z;;;;011003;HAUTE VALLEE;11011;CARCASSONNE
0810036Z;Collège Jacques Durand;Collège;Public;Rue Guillaume Lavabre;;;81700;81219;Puylaurens;081;16;76;;;0;0;0;05 63 75 03 32;05 63 75 26 91;https://jacques-durand-puylaurens.mon-ent-occitanie.fr/;0810036z@ac-toulouse.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;19810036400019;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9782;43.56726200349996, 2.0045804731758445;SANS OBJET;Tarn;Toulouse;Occitanie;619557.1;6274751.3;EPSG:2154;;43.56726200349996;2.0045804731758445;Rue;1965-05-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0810036Z;;;;;;16118;CASTRES / MAZAMET
0460530B;Collège d'Olt;Collège;Public;Puy-l'Evêque;;;46700;46231;Puy-l'Evêque;046;16;76;;;0;0;0;05 65 21 32 55;05 65 21 32 08;https://olt.mon-ent-occitanie.fr/;0460530b@ac-toulouse.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;0;19460530900013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14023;44.501137919688624, 1.1462605979601042;SANS OBJET;Lot;Toulouse;Occitanie;552639.2;6379738.2;EPSG:2154;;44.501137919688624;1.1462605979601042;Numéro de rue;1971-03-02;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0460530B;;;;;;16114;LOT OUEST
0300039E;Collège de la Galaberte;Collège;Public;4 boulevard du Temple;;;30170;30263;Saint-Hippolyte-du-Fort;030;11;76;;;0;0;0;04 66 77 96 90;04 66 77 96 95;http://clg-delagalaberte-sthippolytedufort.ac-montpellier.fr/;ce.0300039e@ac-montpellier.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19300039500015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9138;43.963139683575946, 3.858599825941153;SANS OBJET;Gard;Montpellier;Occitanie;768908.2;6318612.1;EPSG:2154;;43.963139683575946;3.858599825941153;Numéro de rue;1965-05-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0300039E;;;;034010;PAYS VIGANAIS;11116;GARD NORD-OUEST
0460046A;Collège Sainte-Hélène;Collège;Privé;Rue Pierre Bonhomme;;;46500;46128;Gramat;046;16;76;;;0;0;0;05 65 38 72 94;05 65 38 87 66;http://sh-gramat.fr/;0460046a@ac-toulouse.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;77707022800013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8376;44.77973214745132, 1.7224595283987034;CONTRAT D'ASSOCIATION TOUTES CLASSES;Lot;Toulouse;Occitanie;598939.2;6409771.7;EPSG:2154;;44.77973214745132;1.7224595283987034;Numéro de rue;1967-01-30;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;0460565P;;;;;;16124;LOT EST
0301211D;Collège Le Bosquet;Collège;Public;Avenue de la Mayre;BP 15166;;30205;30028;Bagnols-sur-Cèze;030;11;76;;;0;0;0;04 66 89 64 84;04 66 89 90 33;http://clg-dubosquet-bagnolssurceze.ac-montpellier.fr/;ce.0301211d@ac-montpellier.fr;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;;1;19301211900015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14020;44.15571224620921, 4.620730287877942;SANS OBJET;Gard;Montpellier;Occitanie;829628.4;6340964.3;EPSG:2154;;44.15571224620921;4.620730287877942;Rue;1972-03-07;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0301211D;;;;030002;GARD RHODANIEN;11115;GARD NORD-EST
0320035P;Collège de l'Astarac;Collège;Public;Avenue d'Artagnan;;;32300;32256;Mirande;032;16;76;;;0;0;0;05 62 66 52 65;05 62 66 84 56;https://astarac-mirande.mon-ent-occitanie.fr/;0320035p@ac-toulouse.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;19320035900019;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8014;43.5214388228034, 0.407449992020932;SANS OBJET;Gers;Toulouse;Occitanie;490353.0;6272593.2;EPSG:2154;;43.5214388228034;0.407449992020932;Numéro de rue;1965-12-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0320035P;;;;;;16112;AUCH
